code,code_name,ipoDate,industry,website,total_share,market_cap,price,pe,pb,roe,eps,bps,cash,short_term_borrowing,interest_bearing_debt,gross_profit_margin,net_profit,operating_expense,research_and_development,operating_cash_flow,investment_cash_flow,financing_cash_flow,value_lt_15
sh.600006,东风股份,1999-07-27,C36汽车制造业,https://www.dfac.com,"2,000,000,000","12,700,000,256",6.35,52.916668,1.5176864,2.93%,0.12,4.184,"4,200,560,773.33",,"174,225,776",2%,"33,445,950.27","649,477,154.4","430,324,863.5","-2,554,776,566.49","1,556,275,432.15","199,370,000.0",0
sh.600017,日照港,2006-10-17,G55水上运输业,https://www.rzpcl.com,"3,075,653,888","9,688,309,760",3.15,18.529411,0.6894288,3.84%,0.17,4.569,"1,349,552,460.36","2,530,157,859.68","18,602,924,032",24%,"766,037,406.01","479,349,343.09","65,394,349.98","2,533,629,433.2","-2,767,338,538.01","134,436,443.06",0
sh.600020,中原高速,2003-08-08,G54道路运输业,https://www.zygs.com,"2,247,371,832","8,742,276,096",3.89,9.725,0.7353497,6.67%,0.4,5.29,"497,419,657.31","2,779,143,110.73","34,625,425,408",33%,"880,629,170.47","203,582,107.32","500,000.0","2,111,217,746.6","-2,908,487,014.82","816,076,282.6",0
sh.600022,山东钢铁,2004-06-29,C31黑色金属冶炼和压延加工业,https://www.shansteelgroup.com/home/ssgs/ssgs1/cate_id/30.html,"10,698,849,554","16,262,250,496",1.52,,0.8496366,-1.36%,-0.06,1.789,"4,864,781,300.19","6,967,428,526.79","12,244,222,976",2%,"-2,457,145,154.68","3,335,208,324.52","1,841,024,913.95","202,493,035.83","-1,414,056,877.47","-280,536,533.74",
sh.600033,福建高速,2001-02-09,G54道路运输业,https://www.fjgs.com.cn,"2,744,400,000","10,209,167,360",3.72,12.827587,0.821192,7.12%,0.29,4.53,"1,995,529,098.57",,"846,537,920",57%,"1,022,265,594.71","116,820,932.99",,"2,085,568,003.67","-547,320,132.85","-691,742,084.77",1
sh.600035,楚天高速,2004-03-10,G54道路运输业,https://www.hbctgs.com,"1,610,115,901","6,198,945,792",3.85,9.166667,0.6962025,6.49%,0.42,5.53,"951,065,661.86","1,901,326,844.42","9,998,216,192",32%,"784,938,621.78","142,377,011.95","9,408,551.0","1,732,662,143.08","-2,418,293,481.03","7,578,042.34",0
sh.600037,歌华有线,2001-02-08,I63电信、广播电视和卫星传输服务,https://www.bgctv.com.cn,"1,391,777,884","10,368,745,472",7.45,,0.818052,-0.44%,-0.04,9.107,"8,670,102,536.01",,"210,295,696",8%,"-69,520,903.66","329,945,545.65","69,261,552.81","1,074,444,001.17","-275,905,977.83","-162,543,251.84",
sh.600051,宁波联合,1997-04-10,F51批发业,https://www.nug.com.cn,"310,880,000","2,375,123,200",7.64,25.466665,0.6990575,2.90%,0.3,10.929,"965,534,569.49","149,190,833.35","145,000,000",10%,"70,587,884.08","129,538,277.91",,"-41,971,970.57","24,138,967.89","-309,936,157.92",0
sh.600052,东望时代,1997-04-15,R87广播、电视、电影和录音制作业,https://dwsd.cn,"844,194,741","3,452,756,736",4.09,,1.2596244,-13.90%,-0.48,3.247,"608,153,882.48","58,706,150.86","80,194,056",38%,"-367,362,529.33","94,820,132.43","11,832,405.08","106,375,414.56","-454,614,060.17","-72,565,953.59",
sh.600053,九鼎投资,1997-04-18,J67资本市场服务,https://www.jdcapital.com,"433,540,800","6,615,832,576",15.26,,2.572922,-11.83%,-0.75,5.931,"258,913,725.3",,"23,343,524",61%,"-268,962,481.9","171,908,808.02",,"43,498,485.57","60,737,399.14","-93,586,801.9",
